id,title,season,number_in_season,us_viewers
1,Simpsons Roasting on an Open Fire,Season 1,1,26.7
2,Bart the Genius,Season 1,2,24.5
3,Homer's Odyssey,Season 1,3,27.5
4,There's No Disgrace Like Home,Season 1,4,20.2
5,Bart the General,Season 1,5,27.1
6,Moaning Lisa,Season 1,6,27.4
7,The Call of the Simpsons,Season 1,7,27.6
8,The Telltale Head,Season 1,8,28.0
9,Life on the Fast Lane,Season 1,9,33.5
10,Homer's Night Out,Season 1,10,30.3
11,The Crepes of Wrath,Season 1,11,31.2
12,Krusty Gets Busted,Season 1,12,30.4
13,Some Enchanted Evening,Season 1,13,27.1
14,"Bart Gets an ""F""",Season 2,1,33.6
15,Simpson and Delilah,Season 2,2,29.9
16,Treehouse of Horror,Season 2,3,27.4
17,Two Cars in Every Garage and Three Eyes on Every Fish,Season 2,4,26.1
18,Dancin' Homer,Season 2,5,26.1
19,Dead Putting Society,Season 2,6,25.4
20,Bart vs. Thanksgiving,Season 2,7,25.9
21,Bart the Daredevil,Season 2,8,26.2
22,Itchy & Scratchy & Marge,Season 2,9,22.2
23,Bart Gets Hit by a Car,Season 2,10,24.8
24,"One Fish, Two Fish, Blowfish, Blue Fish",Season 2,11,24.2
25,The Way We Was,Season 2,12,26.8
26,Homer vs. Lisa and the 8th Commandment,Season 2,13,26.2
27,Principal Charming,Season 2,14,23.9
28,"Oh Brother, Where Art Thou?",Season 2,15,26.8
29,"Bart's Dog Gets an ""F""",Season 2,16,23.9
30,Old Money,Season 2,17,21.2
31,Brush with Greatness,Season 2,18,20.6
32,Lisa's Substitute,Season 2,19,17.7
33,The War of the Simpsons,Season 2,20,19.7
34,Three Men and a Comic Book,Season 2,21,21.0
35,Blood Feud,Season 2,22,17.3
36,Stark Raving Dad,Season 3,1,22.9
37,Mr. Lisa Goes to Washington,Season 3,2,20.2
38,When Flanders Failed,Season 3,3,22.8
39,Bart the Murderer,Season 3,4,20.8
40,Homer Defined,Season 3,5,20.6
41,"Like Father, Like Clown",Season 3,6,20.2
42,Treehouse of Horror II,Season 3,7,20.0
43,Lisa's Pony,Season 3,8,23.0
44,Saturdays of Thunder,Season 3,9,24.7
45,Flaming Moe's,Season 3,10,23.9
46,Burns Verkaufen der Kraftwerk,Season 3,11,21.1
47,I Married Marge,Season 3,12,21.9
48,Radio Bart,Season 3,13,24.2
49,Lisa the Greek,Season 3,14,23.2
50,Homer Alone,Season 3,15,23.7
51,Bart the Lover,Season 3,16,20.5
52,Homer at the Bat,Season 3,17,24.6
53,Separate Vocations,Season 3,18,23.7
54,Dog of Death,Season 3,19,23.4
55,Colonel Homer,Season 3,20,25.5
56,Black Widower,Season 3,21,17.3
57,The Otto Show,Season 3,22,17.5
58,Bart's Friend Falls in Love,Season 3,23,19.5
59,"Brother, Can You Spare Two Dimes?",Season 3,24,17.2
60,Kamp Krusty,Season 4,1,21.8
61,A Streetcar Named Marge,Season 4,2,18.3
62,Homer the Heretic,Season 4,3,19.3
63,Lisa the Beauty Queen,Season 4,4,19.0
64,Treehouse of Horror III,Season 4,5,25.1
65,Itchy & Scratchy: The Movie,Season 4,6,20.1
66,Marge Gets a Job,Season 4,7,22.9
67,New Kid on the Block,Season 4,8,23.1
68,Mr. Plow,Season 4,9,24.0
69,Lisa's First Word,Season 4,10,28.6
70,Homer's Triple Bypass,Season 4,11,23.6
71,Marge vs. the Monorail,Season 4,12,23.0
72,Selma's Choice,Season 4,13,24.5
73,Brother from the Same Planet,Season 4,14,23.8
74,I Love Lisa,Season 4,15,25.2
75,Duffless,Season 4,16,25.7
76,Last Exit to Springfield,Season 4,17,22.4
77,So It's Come to This: A Simpsons Clip Show,Season 4,18,25.5
78,The Front,Season 4,19,20.1
79,Whacking Day,Season 4,20,20.0
80,Marge in Chains,Season 4,21,17.3
81,Krusty Gets Kancelled,Season 4,22,19.4
